Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19376342946,"Jul 19, 2026, 12:45:20 PM",Evening Run,Run,Beer mile,654,1.64,,,false,,,activities/19376342946.gpx,,,654.0,463.0,1647.8,7.42,3.559,4.6,0.0,11.9,16.5,5.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1657.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,0.0,,,,1220.0,0.0,,,,3.58,,,,,,,,,,,,""
19360260449,"Jul 18, 2026, 9:09:08 AM",Afternoon Run,Run,Pre pregame,2808,8.53,,,false,,,,,,2808.0,2808.0,8529.5,,3.038,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.038,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/867932BA-A821-4EB4-9425-63682DDEB8CB.jpg
19335206020,"Jul 16, 2026, 10:21:54 AM",Evening Run,Run,Missing the Z treadmills😪,3844,11.74,,,false,,,,,,3844.0,3844.0,11748.2,,3.056,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.056,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/3FDEB1AE-4C51-46BE-974D-B59843090A10.jpg
19321695079,"Jul 15, 2026, 10:27:32 AM",Evening Run,Run,Yay new gym,3178,9.65,,,false,,,,,,3178.0,3178.0,9656.1,,3.038,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.038,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/E12B7FC9-2D63-48C8-88ED-F01DD5F5FEAA.jpg
19308071286,"Jul 14, 2026, 10:54:55 AM",Evening Run,Run,Rip funemployment,3661,11.26,,,false,,,,,,3661.0,3661.0,11265.4,,3.077,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.077,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19282784145,"Jul 12, 2026, 1:09:11 PM",Night Run,Run,"",3412,10.46,,,false,,,,,,3412.0,3412.0,10460.8,,3.066,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.066,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/772F23F5-7BFF-46C6-8AA3-2F24632AFF87.jpg
19269595497,"Jul 11, 2026, 1:12:57 PM",Night Run,Run,Yay typhoon,2916,8.85,,,false,,,,,,2916.0,2916.0,8851.4,,3.035,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.035,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/992F39B8-B859-4D78-8479-CA9A5B8E5ADD.jpg
19269609031,"Jul 10, 2026, 2:01:49 PM",Night Run,Run,"",1667,4.98,,,false,,,,,,1667.0,1667.0,4989.0,,2.993,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.993,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/39EEEB4C-A2EF-491C-8F82-B124DE782B50.jpg
19269625318,"Jul 10, 2026, 1:45:59 PM",Night Run,Run,"",1059,3.21,,,false,,,,,,1059.0,1059.0,3218.7,,3.039,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.039,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/0D0F9729-046E-4181-8106-51365F677C86.jpg
19220948432,"Jul 7, 2026, 9:42:58 PM",Morning Run,Run,"",2595,8.13,,,false,,,activities/19220948432.gpx,,,2595.0,2595.0,8130.5,4.68,3.133,164.0,167.4,100.4,122.3,27.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9131.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.133,0.0,,,,7408.0,0.0,,,,3.519,,,,,,,,,,,,""
